Creating 4 nodes.
MOBILE: 
0: [10.0.0.8, 50, 300, 101, 102, 101, 102, 101, 102, 101, 102, 0]
1: [10.0.0.2, -, 0, -, -, -, -, -, -, -, -, 1]
2: [10.0.0.3, -, -, -, -, -, -, -, -, -, -, 0]


node 0 getnode 0x159ee40 dst-> 0x167a270 10.0.0.1 source-> 0x167a440
SENSOR: 
seconds interval2
node 1 getnode 0x159f3b0 dst-> 0x167baf0 10.0.0.2 source-> 0x167bf10
SENSOR: 
seconds interval1
node 2 getnode 0x159f140 dst-> 0x167d120 10.0.0.3 source-> 0x167d7d0
BASE: 
node 3 getnode 0x159f230 dst-> 0x167ee30 10.0.0.4 source-> 0x167f250
Starting simulation for 800 s, seed value 12345671
113.5 0 0 11 1111 0 1053.3 952.67
113.5 0 0 22 2112 0 1100 726
113.5 0 0 0 0 0 1549.3 262.67
114.5 0 0 0 0 0 906.34 1029
114.5 0 0 11 1111 0 1053.3 952.67
114.5 0 0 22 2112 0 1100 726
114.5 0 0 0 0 0 1549.3 262.67
At time 115 created bundle with sequence number 2331 from 10.0.0.3 to 10.0.0.4
115.5 0 0 0 0 0 906.65 1029.4
115.5 0 0 11 1111 0 1053.3 952.67
115.5 0 0 23 2208 0 1100 726
115.5 0 0 0 0 0 1549.3 262.67
116.5 0 0 0 0 0 906.77 1030.4
116.5 0 0 11 1111 0 1053.3 952.67
116.5 0 0 23 2208 0 1100 726
116.5 0 0 0 0 0 1549.3 262.67
117.5 0 0 0 0 0 906.82 1032
117.5 0 0 11 1111 0 1053.3 952.67
117.5 0 0 23 2208 0 1100 726
117.5 0 0 0 0 0 1549.3 262.67
118.5 0 0 0 0 0 907.03 1033.2
118.5 0 0 11 1111 0 1053.3 952.67
